"GeneNames","value1","value2","log2(Fold_change)","log2(Fold_change) normalized","z-score","p-value","q-value(Benjamini et al. 1995)","q-value(Storey et al. 2003)","Signature(q-value(Storey et al. 2003) < 0.01)","mu","clr","pch"
"Wdr90",24,34,-0.502500340529183,-0.348925702971732,-0.914691297141581,0.360353714424863,0.462779332592106,0.141460492856572,FALSE,4.83621267098575,"black","46"
"Cdnf",24,34,-0.502500340529183,-0.348925702971732,-0.914691297141581,0.360353714424863,0.462779332592106,0.141460492856572,FALSE,4.83621267098575,"black","46"
"Herc6",24,34,-0.502500340529183,-0.348925702971732,-0.914691297141581,0.360353714424863,0.462779332592106,0.141460492856572,FALSE,4.83621267098575,"black","46"
"Pidd1",24,34,-0.502500340529183,-0.348925702971732,-0.914691297141581,0.360353714424863,0.462779332592106,0.141460492856572,FALSE,4.83621267098575,"black","46"
"L2hgdh",182,184,-0.0157673158583167,0.137807321699134,0.914365552611343,0.360524796078854,0.462862872354167,0.141499904889284,FALSE,7.51567829812785,"black","46"
"Anapc15",182,184,-0.0157673158583167,0.137807321699134,0.914365552611343,0.360524796078854,0.462862872354167,0.141499904889284,FALSE,7.51567829812785,"black","46"
"Aldh3b2",1332,1431,-0.103429589655406,0.0501450479020455,0.91398167523653,0.360726474632901,0.46305370631175,0.141565182742999,FALSE,10.431093161899,"black","46"
"Gtf2a1",496,521,-0.0709432518916326,0.0826313856658184,0.913825437994159,0.360808577622364,0.463113705041897,0.141583525607081,FALSE,8.98966793633269,"black","46"
"Pusl1",244,250,-0.0350469470992003,0.118527690458251,0.913650545236717,0.360900498029239,0.463186291865045,0.141605716913929,FALSE,7.94826081111249,"black","46"
"Camk1d",734,779,-0.0858432652184558,0.0677313723389953,0.913580010257134,0.360937574070042,0.463188483098606,0.141606386819763,FALSE,9.56255788545244,"black","46"
"Lefty1",41,55,-0.423807708906576,-0.270233071349125,-0.913366209474213,0.361049971013801,0.463264627482167,0.141622727877691,FALSE,5.56945585907137,"black","46"
"3110082I17Rik",41,55,-0.423807708906576,-0.270233071349125,-0.913366209474213,0.361049971013801,0.463264627482167,0.141622727877691,FALSE,5.56945585907137,"black","46"
"Gtpbp10",128,127,0.0113153132278345,0.164889950785286,0.913209957692598,0.361132127826929,0.463301953959783,0.141641077230356,FALSE,6.99434234338608,"black","46"
"Iah1",107,105,0.027221468735025,0.180796106292476,0.91296578961447,0.361260534292817,0.463421290733543,0.141677560972857,FALSE,6.72785625203363,"black","46"
"Mcm9",60,78,-0.37851162325373,-0.224936985696279,-0.912521242729669,0.361494392226468,0.463675862938082,0.141755389009143,FALSE,6.09614640723538,"black","46"
"Ctu2",142,175,-0.301463992327647,-0.147889354770196,-0.910736522322978,0.362434215698808,0.464835813220212,0.142110010020538,FALSE,7.30047911566851,"black","46"
"Hmbs",228,233,-0.0312961304895394,0.122278507067912,0.910542019916077,0.362536731940732,0.464921762778675,0.142136286594474,FALSE,7.84853807940951,"black","46"
"Gpatch2",184,224,-0.283792966000591,-0.13021832844314,-0.910048721090249,0.362796816015396,0.465209742733538,0.142224328077311,FALSE,7.66545843905731,"black","46"
